title,year,genres,imdb,intent_1,intent_2,cluster_1,cluster_2,joy,sadness,fear,anger,disgust,surprise,trust,anticipation,curiosity,excitement,hope,love,guilt,shame,gratitude,loneliness,confidence,determination,regret,relief,nostalgia,compassion,anxiety,inspiration
The Dark Knight,2008,Action|Crime|Drama,9,adrenaline,,dark_intensity,engagement,0.03,0.08,0.18,0.16,0.04,0.06,0.05,0.07,0.06,0.09,0.04,0,0.02,0.01,0,0.03,0.06,0.05,0.03,0.02,0,0.01,0.03,0.03
Inception,2010,Sci-Fi|Thriller,8.8,contemplation,adrenaline,engagement,meaning_growth,0.03,0.05,0.12,0.06,0.02,0.08,0.04,0.1,0.12,0.09,0.06,0.02,0.01,0,0,0.02,0.05,0.07,0.08,0.04,0.02,0.01,0,0.01
Interstellar,2014,Sci-Fi|Drama,8.7,contemplation,inspiration,meaning_growth,emotional_pain,0.06,0.14,0.08,0.04,0.01,0.04,0.06,0.07,0.1,0.05,0.11,0.04,0.01,0,0,0.04,0.07,0.09,0.06,0.04,0.03,0.02,0.01,0.03
Joker,2019,Drama|Thriller,8.4,catharsis,,emotional_pain,dark_intensity,0.01,0.18,0.16,0.15,0.05,0.06,0.02,0.04,0.04,0.05,0.01,0,0.06,0.04,0,0.08,0.05,0.02,0.03,0.05,0.02,0.01,0,0.01
Forrest Gump,1994,Drama|Romance,8.8,comfort,inspiration,positive_energy,meaning_growth,0.15,0.1,0.01,0.01,0,0.03,0.1,0.06,0.04,0.03,0.14,0.12,0,0,0.08,0.03,0.06,0.05,0.07,0.04,0.02,0.06,0.07,0.05
Titanic,1997,Romance|Drama,7.9,catharsis,romance,emotional_pain,meaning_growth,0.06,0.18,0.05,0.02,0.01,0.05,0.05,0.06,0.03,0.02,0.1,0.14,0,0,0.04,0.05,0.02,0.06,0.04,0.02,0.05,0.08,0.06,0.04
La La Land,2016,Romance|Drama|Music,8,romance,inspiration,positive_energy,emotional_pain,0.16,0.12,0.01,0.01,0,0.05,0.06,0.08,0.04,0.04,0.12,0.14,0,0,0.05,0.03,0.02,0.05,0.04,0.02,0.06,0.09,0.03,0.04
The Shawshank Redemption,1994,Drama,9.3,inspiration,comfort,meaning_growth,emotional_pain,0.1,0.12,0.04,0.02,0,0.03,0.08,0.05,0.04,0.02,0.18,0.05,0.02,0,0.06,0.03,0.02,0.04,0.1,0.06,0.04,0.08,0.04,0.05
Avengers: Endgame,2019,Action|Sci-Fi,8.4,adrenaline,nostalgia,engagement,meaning_growth,0.1,0.12,0.06,0.05,0.01,0.06,0.08,0.08,0.04,0.08,0.1,0.05,0.02,0,0.04,0.03,0.02,0.05,0.08,0.06,0.03,0.06,0.1,0.04
John Wick,2014,Action|Thriller,7.4,adrenaline,,dark_intensity,engagement,0.02,0.04,0.14,0.22,0.06,0.06,0.03,0.07,0.04,0.14,0.02,0,0.01,0,0,0.02,0.01,0.02,0.1,0.12,0.03,0.01,0,0.01
Get Out,2017,Horror|Thriller,7.7,adrenaline,contemplation,dark_intensity,meaning_growth,0.01,0.08,0.18,0.08,0.07,0.09,0.03,0.05,0.06,0.06,0.03,0,0.02,0.01,0,0.04,0.05,0.03,0.04,0.02,0.01,0,0.01,0.07
Fight Club,1999,Drama|Thriller,8.8,catharsis,,dark_intensity,emotional_pain,0.02,0.1,0.1,0.18,0.05,0.05,0.03,0.06,0.06,0.08,0.02,0,0.05,0.03,0,0.07,0.04,0.02,0.04,0.07,0.02,0.01,0,0.02
Se7en,1995,Crime|Thriller,8.6,adrenaline,,dark_intensity,emotional_pain,0.01,0.14,0.22,0.1,0.06,0.07,0.02,0.04,0.04,0.05,0.01,0,0.03,0.02,0,0.06,0.04,0.02,0.03,0.04,0.01,0.01,0,0.01
Gladiator,2000,Action|Drama,8.5,adrenaline,inspiration,dark_intensity,meaning_growth,0.05,0.12,0.06,0.18,0.03,0.05,0.06,0.07,0.03,0.06,0.12,0.02,0.02,0,0.03,0.02,0.02,0.03,0.09,0.08,0.03,0.03,0.01,0.04
The Matrix,1999,Sci-Fi|Action,8.7,contemplation,adrenaline,engagement,meaning_growth,0.04,0.05,0.1,0.07,0.02,0.07,0.05,0.08,0.12,0.1,0.08,0.01,0.01,0,0.02,0.02,0.01,0.02,0.09,0.07,0.02,0.02,0.01,0.01
Parasite,2019,Drama|Thriller,8.6,contemplation,catharsis,emotional_pain,dark_intensity,0.02,0.14,0.08,0.1,0.04,0.07,0.04,0.05,0.05,0.05,0.04,0.01,0.04,0.03,0,0.06,0.05,0.03,0.04,0.05,0.02,0.01,0,0.02
Whiplash,2014,Drama|Music,8.5,adrenaline,catharsis,engagement,emotional_pain,0.03,0.08,0.05,0.12,0.02,0.04,0.03,0.06,0.06,0.09,0.04,0.01,0.02,0.01,0,0.03,0.03,0.02,0.05,0.1,0.02,0.01,0,0.01
Her,2013,Romance|Drama,8,comfort,contemplation,emotional_pain,meaning_growth,0.08,0.14,0.02,0.01,0,0.04,0.07,0.06,0.06,0.03,0.1,0.12,0.01,0,0.04,0.06,0.03,0.07,0.04,0.02,0.05,0.06,0.05,0.04
Up,2009,Animation|Adventure,8.3,comfort,inspiration,positive_energy,emotional_pain,0.18,0.12,0.02,0.01,0,0.05,0.1,0.06,0.04,0.03,0.12,0.1,0,0,0.07,0.04,0.03,0.05,0.06,0.04,0.03,0.05,0.06,0.05
Toy Story,1995,Animation|Comedy,8.3,comfort,fun,positive_energy,engagement,0.22,0.05,0,0,0,0.05,0.12,0.06,0.04,0.05,0.1,0.1,0,0,0.08,0.03,0.05,0.03,0.04,0.03,0.01,0.04,0.06,0.05
The Pursuit of Happyness,2006,Drama,8,inspiration,comfort,meaning_growth,emotional_pain,0.08,0.14,0.03,0.02,0,0.03,0.08,0.06,0.03,0.02,0.16,0.04,0.02,0,0.06,0.03,0.02,0.05,0.1,0.06,0.04,0.07,0.03,0.05
A Quiet Place,2018,Horror|Thriller,7.5,adrenaline,,dark_intensity,engagement,0.01,0.06,0.2,0.06,0.04,0.08,0.03,0.05,0.05,0.06,0.03,0.01,0.02,0.01,0,0.04,0.04,0.03,0.04,0.05,0.01,0.01,0,0.01
Mad Max: Fury Road,2015,Action|Sci-Fi,8.1,adrenaline,,dark_intensity,engagement,0.03,0.05,0.12,0.16,0.04,0.07,0.04,0.08,0.05,0.14,0.04,0.01,0.01,0,0.01,0.02,0.02,0.02,0.1,0.12,0.02,0.01,0,0.01
The Wolf of Wall Street,2013,Biography|Drama,8.2,fun,catharsis,engagement,emotional_pain,0.12,0.05,0.02,0.06,0.01,0.06,0.06,0.08,0.05,0.07,0.03,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.08,0.05,0.04,0.03,0.02,0.02
Black Swan,2010,Drama|Thriller,8,catharsis,,emotional_pain,dark_intensity,0.02,0.14,0.1,0.08,0.04,0.06,0.03,0.05,0.04,0.05,0.02,0,0.04,0.03,0,0.06,0.04,0.03,0.03,0.06,0.02,0.01,0,0.01
Slumdog Millionaire,2008,Drama|Romance,8,inspiration,romance,meaning_growth,emotional_pain,0.1,0.12,0.04,0.03,0.01,0.05,0.07,0.06,0.04,0.04,0.14,0.1,0.01,0,0.05,0.04,0.03,0.06,0.05,0.04,0.03,0.05,0.04,0.05
Coco,2017,Animation|Drama,8.4,comfort,inspiration,meaning_growth,emotional_pain,0.18,0.12,0.01,0.01,0,0.04,0.1,0.06,0.04,0.03,0.14,0.08,0,0,0.08,0.05,0.04,0.06,0.05,0.04,0.03,0.05,0.06,0.06
Gravity,2013,Sci-Fi|Thriller,7.7,adrenaline,contemplation,engagement,dark_intensity,0.02,0.06,0.18,0.04,0.02,0.07,0.03,0.06,0.07,0.06,0.04,0.01,0.01,0,0.01,0.03,0.03,0.03,0.06,0.07,0.02,0.01,0,0.01
Django Unchained,2012,Drama|Western,8.4,adrenaline,catharsis,dark_intensity,meaning_growth,0.05,0.1,0.05,0.16,0.03,0.06,0.05,0.07,0.03,0.06,0.1,0.02,0.02,0,0.03,0.03,0.02,0.03,0.08,0.08,0.03,0.03,0.01,0.03
The Social Network,2010,Drama|Biography,7.7,contemplation,,engagement,emotional_pain,0.05,0.08,0.02,0.04,0.01,0.04,0.05,0.06,0.06,0.05,0.04,0.01,0.03,0.02,0.01,0.04,0.03,0.05,0.07,0.05,0.04,0.04,0.02,0.02
Life of Pi,2012,Adventure|Drama,7.9,contemplation,inspiration,meaning_growth,emotional_pain,0.1,0.12,0.06,0.02,0.01,0.05,0.06,0.06,0.05,0.04,0.14,0.04,0.02,0,0.05,0.04,0.03,0.06,0.05,0.04,0.03,0.05,0.04,0.05
The Grand Budapest Hotel,2014,Comedy|Drama,8.1,fun,comfort,positive_energy,engagement,0.18,0.06,0.02,0.02,0.01,0.06,0.08,0.06,0.05,0.06,0.06,0.03,0.01,0,0.06,0.03,0.04,0.03,0.04,0.03,0.02,0.04,0.05,0.04
The Lion King,1994,Animation|Drama,8.5,inspiration,comfort,meaning_growth,emotional_pain,0.14,0.12,0.03,0.04,0.01,0.05,0.08,0.06,0.04,0.03,0.14,0.06,0.01,0,0.07,0.04,0.03,0.06,0.06,0.04,0.03,0.05,0.06,0.05
